
# Surface 0 of 1 surfaces

# Curve title: ""main_2D_contourtmp0.dat""

# Contour 0, label:      400
 4.95773  0.423597  200 
 4.94705  0.544797  200 
 4.9367  0.665997  200 
 4.9266  0.787197  200 
 4.91663  0.908397  200 
 4.908  1.01339  200 
 4.90652  1.0296  200 
 4.89528  1.1508  200 
 4.88376  1.272  200 
 4.87178  1.3932  200 
 4.85917  1.5144  200 
 4.84571  1.6356  200 
 4.83122  1.7568  200 
 4.81546  1.878  200 
 4.79823  1.9992  200 
 4.78679  2.0721  200 
 4.77846  2.1204  200 
 4.75527  2.2416  200 
 4.72972  2.3628  200 
 4.70155  2.484  200 
 4.6705  2.6052  200 
 4.6656  2.62238  200 
 4.63302  2.7264  200 
 4.59128  2.8476  200 
 4.54557  2.9688  200 
 4.54439  2.97162  200 
 4.49007  3.09  200 
 4.42953  3.2112  200 
 4.4232  3.22272  200 
 4.35693  3.3324  200 
 4.302  3.416  200 
 4.2748  3.4536  200 
 4.18079  3.57297  200 
 4.17921  3.5748  200 
 4.06444  3.696  200 
 4.0596  3.7007  200 
 3.9384  3.80721  200 
 3.9258  3.8172  200 
 3.8172  3.89628  200 
 3.75304  3.9384  200 
 3.696  3.97282  200 
 3.5748  4.03831  200 

-5.24438 -4.4244  200 
-5.18136 -4.5456  200 
-5.1516 -4.5918  200 
-5.09411 -4.6668  200 
-5.0304 -4.73538  200 
-4.97076 -4.788  200 
-4.9092 -4.83384  200 
-4.788 -4.90539  200 
-4.77963 -4.9092  200 
-4.6668 -4.95346  200 
-4.5456 -4.98767  200 
-4.4244 -5.01001  200 
-4.3032 -5.02185  200 
-4.182 -5.02444  200 
-4.0608 -5.0189  200 
-3.9396 -5.00627  200 
-3.8184 -4.98749  200 
-3.6972 -4.96341  200 
-3.576 -4.9348  200 
-3.48059 -4.9092  200 
-3.4548 -4.90159  200 
-3.3336 -4.86195  200 
-3.2124 -4.81955  200 
-3.12694 -4.788  200 
-3.0912 -4.77347  200 
-2.97 -4.72198  200 
-2.8488 -4.66938  200 
-2.84299 -4.6668  200 
-2.7276 -4.61016  200 
-2.6064 -4.55061  200 
-2.59627 -4.5456  200 
-2.4852 -4.48487  200 
-2.373 -4.4244  200 
-2.364 -4.41901  200 
-2.2428 -4.34723  200 
-2.16649 -4.3032  200 
-2.1216 -4.27436  200 
-2.0004 -4.19878  200 
-1.97258 -4.182  200 
-1.8792 -4.1191  200 
-1.78847 -4.0608  200 
-1.758 -4.03883  200 
-1.6368 -3.95571  200 
-1.61195 -3.9396  200 
-1.5156 -3.86926  200 
-1.44089 -3.8184  200 
-1.3944 -3.78257  200 
-1.27451 -3.6972  200 
-1.2732 -3.69614  200 
-1.152 -3.60563  200 
-1.10811 -3.576  200 
-1.0308 -3.5163  200 
-0.94134 -3.4548  200 
-0.909602 -3.42966  200 
-0.788402 -3.34546  200 
-0.768631 -3.3336  200 
-0.667202 -3.26314  200 
-0.579314 -3.2124  200 
-0.546002 -3.18994  200 
-0.424802 -3.12393  200 
-0.345845 -3.0912  200 
-0.303602 -3.07062  200 
-0.182402 -3.02893  200 
-0.0612024 -3.00432  200 
 0.0599976 -2.99535  200 
 0.181198 -3.0008  200 
 0.302397 -3.01955  200 
 0.423597 -3.05057  200 
 0.539857 -3.0912  200 
 0.544797 -3.09263  200 
 0.665997 -3.13737  200 
 0.787197 -3.19042  200 
 0.830695 -3.2124  200 
 0.908397 -3.24565  200 
 1.0296 -3.30388  200 
 1.08571 -3.3336  200 
 1.1508 -3.36318  200 
 1.272 -3.42297  200 
 1.33231 -3.4548  200 
 1.3932 -3.48269  200 
 1.5144 -3.54146  200 
 1.58248 -3.576  200 
 1.6356 -3.5996  200 
 1.7568 -3.65547  200 
 1.84507 -3.6972  200 
 1.878 -3.71094  200 
 1.9992 -3.76249  200 
 2.1204 -3.81431  200 
 2.12995 -3.8184  200 
 2.2416 -3.86086  200 
 2.3628 -3.90633  200 
 2.45367 -3.9396  200 
 2.484 -3.94953  200 
 2.6052 -3.98785  200 
 2.7264 -4.02421  200 
 2.8476 -4.0581  200 
 2.85816 -4.0608  200 
 2.9688 -4.08622  200 
 3.09 -4.11086  200 

-3.576  4.80409  200 
-3.63489  4.78679  200 
-3.6972  4.76624  200 
-3.8184  4.71729  200 
-3.92521  4.6656  200 
-3.9396  4.65772  200 
-4.0608  4.57977  200 
-4.10819  4.54439  200 
-4.182  4.48171  200 
-4.24209  4.4232  200 
-4.3032  4.35493  200 
-4.34494  4.302  200 
-4.4244  4.18534  200 
-4.42715  4.18079  200 
-4.48975  4.0596  200 
-4.54247  3.9384  200 
-4.5456  3.92968  200 
-4.58179  3.8172  200 
-4.61329  3.696  200 
-4.63793  3.5748  200 
-4.65631  3.4536  200 
-4.6668  3.35339  200 
-4.66878  3.3324  200 
-4.67556  3.2112  200 
-4.67819  3.09  200 
-4.67713  2.9688  200 
-4.67281  2.8476  200 
-4.6668  2.74599  200 
-4.66551  2.7264  200 
-4.65481  2.6052  200 
-4.64182  2.484  200 
-4.62694  2.3628  200 
-4.61056  2.2416  200 
-4.59307  2.1204  200 
-4.57481  1.9992  200 
-4.55613  1.878  200 
-4.5456  1.80984  200 
-4.53636  1.7568  200 
-4.51553  1.6356  200 
-4.49527  1.5144  200 
-4.47589  1.3932  200 
-4.4577  1.272  200 
-4.44098  1.1508  200 
-4.42601  1.0296  200 
-4.4244  1.01445  200 
-4.41152  0.908397  200 
-4.39936  0.787197  200 
-4.39001  0.665997  200 
-4.38373  0.544797  200 
-4.38075  0.423597  200 
-4.38132  0.302397  200 
-4.38564  0.181198  200 
-4.39393  0.0599976  200 
-4.40638 -0.0612024  200 
-4.42316 -0.182402  200 
-4.4244 -0.18958  200 
-4.44186 -0.303602  200 
-4.4644 -0.424802  200 
-4.49102 -0.546002  200 
-4.52179 -0.667202  200 
-4.5456 -0.750024  200 
-4.55539 -0.788402  200 
-4.58965 -0.909602  200 
-4.62753 -1.0308  200 
-4.6668 -1.14568  200 
-4.66873 -1.152  200 
-4.70818 -1.2732  200 
-4.75053 -1.3944  200 
-4.788 -1.4953  200 
-4.79475 -1.5156  200 
-4.83677 -1.6368  200 
-4.88083 -1.758  200 
-4.9092 -1.83337  200 
-4.92468 -1.8792  200 
-4.96658 -2.0004  200 
-5.00951 -2.1216  200 
-5.0304 -2.18004  200 
-5.0506 -2.2428  200 
-5.08963 -2.364  200 
-5.12857 -2.4852  200 
-5.1516 -2.55816  200 
-5.16535 -2.6064  200 
-5.19876 -2.7276  200 
-5.23088 -2.8488  200 
-5.26127 -2.97  200 
-5.2728 -3.02007  200 
-5.28761 -3.0912  200 
-5.31016 -3.2124  200 
-5.32961 -3.3336  200 
-5.34538 -3.4548  200 
-5.35684 -3.576  200 
-5.36328 -3.6972  200 
-5.36394 -3.8184  200 
-5.35796 -3.9396  200 
-5.34444 -4.0608  200 
-5.32236 -4.182  200 
-5.2906 -4.3032  200 
-5.2728 -4.35433  200 
-5.24438 -4.4244  200 


# Contour 2, label:      100
-2.14582 -1.8792  100 
-2.20059 -1.758  100 
-2.2428 -1.67068  100 
-2.26018 -1.6368  100 
-2.32442 -1.5156  100 
-2.364 -1.44265  100 
-2.39246 -1.3944  100 
-2.46403 -1.2732  100 
-2.4852 -1.23654  100 
-2.54006 -1.152  100 
-2.6064 -1.0472  100 
-2.61857 -1.0308  100 
-2.70348 -0.909602  100 
-2.7276 -0.872512  100 
-2.79693 -0.788402  100 
-2.8488 -0.719573  100 
-2.90574 -0.667202  100 
-2.97 -0.600831  100 
-3.07655 -0.546002  100 
-3.0912 -0.537257  100 
-3.2124 -0.534098  100 

-3.2124 -0.534098  100 
-3.23472 -0.546002  100 
-3.3336 -0.584752  100 
-3.44004 -0.667202  100 
-3.4548 -0.676249  100 
-3.57279 -0.788402  100 
-3.576 -0.79093  100 
-3.68406 -0.909602  100 
-3.6972 -0.921967  100 
-3.78545 -1.0308  100 
-3.8184 -1.06647  100 
-3.88113 -1.152  100 
-3.9396 -1.22333  100 
-3.97299 -1.2732  100 
-4.0608 -1.3924  100 
-4.06203 -1.3944  100 
-4.14176 -1.5156  100 
-4.182 -1.57251  100 
-4.22041 -1.6368  100 
-4.29732 -1.758  100 
-4.3032 -1.76691  100 
-4.36652 -1.8792  100 
-4.4244 -1.97739  100 
-4.43612 -2.0004  100 
-4.49909 -2.1216  100 
-4.5456 -2.20912  100 
-4.56119 -2.2428  100 
-4.61732 -2.364  100 
-4.6668 -2.47056  100 
-4.67276 -2.4852  100 
-4.72077 -2.6064  100 
-4.76762 -2.7276  100 
-4.788 -2.78312  100 
-4.80923 -2.8488  100 
-4.84558 -2.97  100 
-4.87866 -3.0912  100 
-4.90758 -3.2124  100 
-4.9092 -3.22081  100 
-4.92834 -3.3336  100 
-4.94338 -3.4548  100 
-4.95185 -3.576  100 
-4.9526 -3.6972  100 
-4.9443 -3.8184  100 
-4.92547 -3.9396  100 
-4.9092 -4.00384  100 
-4.89176 -4.0608  100 
-4.8382 -4.182  100 
-4.788 -4.26572  100 
-4.75978 -4.3032  100 
-4.6668 -4.39917  100 
-4.6346 -4.4244  100 
-4.5456 -4.48077  100 
-4.4244 -4.5349  100 
-4.38721 -4.5456  100 
-4.3032 -4.56579  100 
-4.182 -4.58061  100 
-4.0608 -4.5829  100 
-3.9396 -4.57442  100 
-3.8184 -4.55676  100 
-3.76589 -4.5456  100 
-3.6972 -4.52922  100 
-3.576 -4.4927  100 
-3.4548 -4.45014  100 
-3.38967 -4.4244  100 
-3.3336 -4.3995  100 
-3.2124 -4.34086  100 
-3.13907 -4.3032  100 
-3.0912 -4.27547  100 
-2.97 -4.20211  100 
-2.93785 -4.182  100 
-2.8488 -4.11894  100 
-2.76787 -4.0608  100 
-2.7276 -4.02783  100 
-2.62046 -3.9396  100 
-2.6064 -3.92631  100 
-2.49201 -3.8184  100 
-2.4852 -3.81097  100 
-2.38 -3.6972  100 
-2.364 -3.67696  100 
-2.28276 -3.576  100 
-2.2428 -3.51727  100 
-2.19923 -3.4548  100 
-2.12894 -3.3336  100 
-2.1216 -3.31773  100 
-2.0713 -3.2124  100 
-2.02608 -3.0912  100 
-2.0004 -2.99681  100 
-1.99281 -2.97  100 
-1.97102 -2.8488  100 
-1.96043 -2.7276  100 
-1.96048 -2.6064  100 
-1.97056 -2.4852  100 
-1.99001 -2.364  100 
-2.0004 -2.31827  100 
-2.018 -2.2428  100 
-2.05379 -2.1216  100 
-2.09662 -2.0004  100 
-2.1216 -1.93762  100 
-2.14582 -1.8792  100 

-1.6368  4.21184  100 
-1.758  4.24803  100 
-1.8792  4.2836  100 
-1.94427  4.302  100 
-2.0004  4.31584  100 
-2.1216  4.34398  100 
-2.2428  4.36992  100 
-2.364  4.39302  100 
-2.4852  4.4126  100 
-2.56892  4.4232  100 
-2.6064  4.42736  100 
-2.7276  4.43642  100 
-2.8488  4.44047  100 
-2.97  4.43879  100 
-3.0912  4.43063  100 

 4.68416 -1.0308  100 
 4.6684 -0.909602  100 
 4.6656 -0.888067  100 
 4.65076 -0.788402  100 
 4.63307 -0.667202  100 
 4.61594 -0.546002  100 
 4.59952 -0.424802  100 
 4.58392 -0.303602  100 
 4.56922 -0.182402  100 
 4.55545 -0.0612024  100 
 4.54439  0.0431033  100 
 4.54235  0.0599976  100 
 4.5286  0.181198  100 
 4.51591  0.302397  100 
 4.50417  0.423597  100 
 4.49326  0.544797  100 
 4.48305  0.665997  100 
 4.47336  0.787197  100 
 4.464  0.908397  100 
 4.45477  1.0296  100 
 4.44545  1.1508  100 
 4.43578  1.272  100 
 4.42553  1.3932  100 
 4.4232  1.41835  100 
 4.41315  1.5144  100 
 4.39918  1.6356  100 
 4.38366  1.7568  100 
 4.36626  1.878  100 
 4.34666  1.9992  100 
 4.32453  2.1204  100 
 4.302  2.22949  100 
 4.29919  2.2416  100 
 4.26709  2.3628  100 
 4.23112  2.484  100 
 4.19093  2.6052  100 
 4.18079  2.63225  100 
 4.14128  2.7264  100 
 4.08482  2.8476  100 
 4.0596  2.89616  100 
